Sex,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Male,32.6,33.6,33.7,34.3,34.7,35.3,34.1,35.5,37.0,38.4,38.3,39.1,37.6
Female,38.4,39.0,39.7,41.3,41.2,42.5,40.6,42.1,42.3,44.2,44.1,44.9,44.5
